,ID,Car_Owned,Bike_Owned,Active_Loan,House_Own,Child_Count,Own_House_Age,Mobile_Tag,Homephone_Tag,Workphone_Working,Client_Family_Members,Cleint_City_Rating,Application_Process_Day,Application_Process_Hour,Score_Source_1,Score_Source_2,Social_Circle_Default,Phone_Change,Credit_Bureau,Default,Alone,Group,Kids,Others,Partner,Relative,Commercial,Govt Job,Service,Graduation,Graduation dropout,Junior secondary,Post Grad,Secondary,D,M,S,W,Female,Male,CL,RL,Family,Home,Municipal,Office,Rental,Shared,Accountants,Cleaning,Cooking,Core,Drivers,HR,High skill tech,IT,Laborers,Low-skill Laborers,Managers,Medicine,Private service,Realty agents,Sales,Secretaries,Security,Waiters/barmen,No,Yes
455,12109845,1.0,1.0,0.0,0.0,2.0,5.0,1,0,0,4.0,2.0,1.0,10.0,0.8295689709999999,0.6266611129999999,0.0835,1164.0,4.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
466,12189965,1.0,0.0,0.0,1.0,2.0,8.0,1,0,0,4.0,2.0,5.0,15.0,0.330217238,0.680340208,0.0946,449.0,2.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
490,12127034,1.0,0.0,0.0,0.0,0.0,15.0,1,1,1,2.0,2.0,2.0,13.0,0.7443108070000001,0.627136785,0.1237,501.0,0.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
504,12120648,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2.0,2.0,6.0,14.0,0.473160946,0.38798776100000004,0.3897,287.0,0.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
559,12164520,1.0,0.0,1.0,1.0,0.0,7.0,1,0,0,1.0,2.0,1.0,11.0,0.26825149,0.5866489570000001,0.1485,295.0,1.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
568,12118406,1.0,1.0,0.0,1.0,1.0,8.0,1,0,0,2.0,2.0,1.0,12.0,0.26853788300000003,0.624673953,0.4454,356.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
583,12123392,1.0,1.0,1.0,1.0,0.0,7.0,1,0,0,2.0,2.0,6.0,11.0,0.225293432,0.617815229,0.0928,138.0,4.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
629,12208116,1.0,1.0,0.0,1.0,0.0,2.0,1,0,0,2.0,1.0,6.0,16.0,0.195353501,0.325267158,0.1443,364.0,2.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
661,12112563,1.0,0.0,1.0,1.0,0.0,14.0,1,0,0,2.0,2.0,2.0,14.0,0.514014194,0.667375129,0.2555,2526.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
692,12157149,1.0,0.0,1.0,1.0,0.0,2.0,1,0,0,1.0,2.0,2.0,16.0,0.66587384,0.262258369,0.0928,0.0,1.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
827,12136651,1.0,0.0,0.0,1.0,1.0,10.0,1,0,0,3.0,3.0,3.0,12.0,0.458908007,0.64568867,0.1165,1035.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
884,12164222,1.0,1.0,1.0,0.0,1.0,7.0,1,0,1,3.0,1.0,5.0,9.0,0.202424565,0.683749822,0.0742,1660.0,5.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
949,12189963,1.0,0.0,0.0,1.0,2.0,6.0,1,0,1,4.0,1.0,6.0,11.0,0.744468908,0.670518044,0.5845,0.0,0.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
958,12112179,1.0,0.0,0.0,0.0,0.0,10.0,1,0,0,2.0,2.0,3.0,12.0,0.764154958,0.707882045,0.1031,1954.0,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
962,12156717,1.0,0.0,1.0,1.0,1.0,20.0,1,0,0,2.0,2.0,1.0,15.0,0.332736291,0.6744385270000001,0.0649,2416.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
969,12135416,1.0,0.0,0.0,1.0,1.0,64.0,1,0,0,3.0,1.0,1.0,17.0,0.7916662459999999,0.7012044740000001,0.156,1370.0,4.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1002,12163205,1.0,1.0,0.0,1.0,0.0,3.0,1,1,1,1.0,1.0,4.0,15.0,0.536920015,0.717973414,0.2845,3169.0,0.0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1013,12121045,1.0,0.0,0.0,1.0,0.0,6.0,1,0,1,2.0,2.0,5.0,11.0,0.701152986,0.672057316,0.0247,2088.0,0.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1016,12154811,1.0,1.0,1.0,1.0,1.0,30.0,1,0,0,3.0,2.0,1.0,12.0,0.158542942,0.5645803779999999,0.1031,0.0,2.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1018,12184850,1.0,0.0,0.0,1.0,0.0,2.0,1,0,0,1.0,2.0,5.0,17.0,0.693020917,0.44664119799999996,0.133,2240.0,5.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1036,12169833,1.0,1.0,0.0,1.0,1.0,7.0,1,0,0,3.0,2.0,4.0,18.0,0.427122282,0.754815153,0.1093,1214.0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1043,12139359,1.0,0.0,0.0,1.0,1.0,13.0,1,1,1,3.0,3.0,4.0,12.0,0.53806269,0.24375780800000002,0.1206,2725.0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1053,12159640,1.0,0.0,0.0,1.0,0.0,4.0,1,0,1,1.0,1.0,1.0,12.0,0.182298873,0.436617105,0.1845,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1062,12187513,1.0,0.0,1.0,0.0,0.0,6.0,1,0,0,1.0,2.0,4.0,12.0,0.6574262670000001,0.534878607,0.2464,1517.0,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1122,12107949,1.0,1.0,0.0,1.0,0.0,12.0,1,0,0,1.0,3.0,2.0,13.0,0.37117344,0.630576731,0.0619,1697.0,0.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1149,12128949,1.0,1.0,0.0,0.0,0.0,9.0,1,0,0,1.0,2.0,4.0,18.0,0.34810642700000005,0.66279162,0.1021,1576.0,1.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1191,12207007,1.0,0.0,1.0,1.0,0.0,8.0,1,0,0,2.0,3.0,5.0,7.0,0.7133173490000001,0.5277179329999999,0.1165,2257.0,7.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1211,12141558,1.0,0.0,1.0,0.0,0.0,4.0,1,0,0,2.0,1.0,4.0,11.0,0.628776118,0.6919100859999999,0.0825,1.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1252,12194015,1.0,1.0,1.0,0.0,0.0,9.0,1,1,0,2.0,2.0,2.0,16.0,0.540520268,0.737211105,0.0928,1555.0,1.0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1290,12175676,1.0,0.0,0.0,0.0,0.0,6.0,1,0,0,1.0,2.0,4.0,17.0,0.733954242,0.595148945,0.2062,426.0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1347,12137629,1.0,0.0,1.0,1.0,2.0,7.0,1,0,0,4.0,1.0,2.0,12.0,0.7381803779999999,0.7640154240000001,0.0485,1455.0,4.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1411,12221280,1.0,0.0,1.0,1.0,0.0,0.0,1,0,0,1.0,2.0,2.0,13.0,0.09254699699999999,0.024338282000000003,0.0124,127.0,6.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1548,12115580,1.0,0.0,1.0,0.0,2.0,11.0,1,1,1,4.0,2.0,0.0,14.0,0.58951548,0.639980157,0.0742,1654.0,2.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1580,12131771,1.0,0.0,0.0,0.0,1.0,3.0,1,0,0,3.0,2.0,2.0,15.0,0.194540546,0.66710809,0.0165,1.0,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1603,12171825,1.0,0.0,0.0,1.0,0.0,1.0,1,0,0,2.0,1.0,0.0,13.0,0.708859125,0.737871453,0.3701,753.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1607,12213997,1.0,1.0,1.0,1.0,0.0,7.0,1,1,0,1.0,2.0,6.0,12.0,0.361962196,0.262935879,0.0412,811.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1634,12144194,1.0,0.0,0.0,1.0,0.0,8.0,1,0,1,2.0,2.0,5.0,15.0,0.5325194010000001,0.611283421,0.2227,1664.0,2.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1716,12204121,1.0,1.0,1.0,1.0,0.0,1.0,1,0,1,2.0,1.0,5.0,13.0,0.424325813,0.399518204,0.2928,0.0,2.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1852,12111837,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,2.0,2.0,3.0,13.0,0.8357950559999999,0.650814496,0.1137,1500.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1896,12207747,1.0,0.0,1.0,1.0,0.0,8.0,1,0,0,2.0,2.0,2.0,9.0,0.60296139,0.668093174,0.1505,2450.0,1.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1991,12202403,1.0,1.0,1.0,0.0,0.0,23.0,1,0,1,1.0,2.0,6.0,13.0,0.35358432700000003,0.362066399,0.133,2874.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2032,12160895,1.0,0.0,1.0,0.0,0.0,64.0,1,0,0,1.0,2.0,3.0,18.0,0.503485531,0.654660906,0.0825,701.0,1.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2036,12179838,1.0,0.0,1.0,0.0,1.0,1.0,1,1,0,3.0,2.0,4.0,10.0,0.640566471,0.461819022,0.0371,1688.0,4.0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2211,12127361,1.0,0.0,0.0,0.0,1.0,5.0,1,0,0,2.0,2.0,6.0,11.0,0.6945176679999999,0.551172632,0.0619,3.0,4.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2227,12100928,1.0,1.0,0.0,0.0,0.0,3.0,1,0,1,2.0,2.0,1.0,16.0,0.591981666,0.43237241299999996,0.0247,306.0,4.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2246,12120742,1.0,0.0,0.0,0.0,1.0,11.0,1,1,1,3.0,2.0,4.0,13.0,0.389741375,0.55675949,0.0,1246.0,3.0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2289,12165082,1.0,0.0,0.0,1.0,0.0,3.0,1,0,0,2.0,2.0,5.0,18.0,0.247801391,0.531907004,0.0928,1310.0,3.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2293,12220145,1.0,0.0,1.0,1.0,0.0,6.0,1,0,0,1.0,2.0,4.0,9.0,0.24562962600000002,0.607452321,0.0784,387.0,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2330,12101754,1.0,0.0,1.0,1.0,0.0,14.0,1,0,0,1.0,2.0,4.0,15.0,0.187167168,0.156677202,0.1557,0.0,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2336,12185170,1.0,1.0,0.0,1.0,0.0,7.0,1,0,0,2.0,2.0,4.0,10.0,0.557548229,0.618321111,0.1649,1323.0,2.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2360,12110188,1.0,0.0,0.0,1.0,0.0,1.0,1,1,1,2.0,1.0,6.0,15.0,0.6949301040000001,0.618367557,0.1485,246.0,3.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2369,12204821,1.0,1.0,1.0,0.0,0.0,5.0,1,0,1,2.0,2.0,1.0,19.0,0.741123454,0.664124575,0.0619,1053.0,1.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2392,12196504,1.0,1.0,0.0,1.0,2.0,3.0,1,1,1,4.0,1.0,1.0,9.0,0.38591136,0.659828416,0.2686,427.0,0.0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2410,12195884,1.0,1.0,1.0,0.0,2.0,4.0,1,0,0,4.0,2.0,5.0,9.0,0.46966975200000005,0.405930003,0.2639,1203.0,3.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2421,12118311,1.0,0.0,1.0,0.0,0.0,12.0,1,0,0,2.0,2.0,6.0,16.0,0.329875191,0.202150923,0.1031,407.0,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2468,12113816,1.0,1.0,0.0,1.0,2.0,14.0,1,0,1,4.0,2.0,5.0,10.0,0.45877192299999997,0.624161114,0.0256,1570.0,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2590,12123765,1.0,0.0,0.0,0.0,0.0,7.0,1,1,0,2.0,2.0,6.0,16.0,0.499620511,0.6825522820000001,0.4423,1487.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2719,12112030,1.0,0.0,1.0,1.0,0.0,15.0,1,0,0,2.0,2.0,5.0,12.0,0.521147567,0.600207336,0.0619,650.0,2.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2767,12114582,1.0,1.0,0.0,1.0,1.0,15.0,1,0,0,3.0,3.0,4.0,9.0,0.777796383,0.36253626,0.0062,2183.0,2.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2780,12170134,1.0,1.0,1.0,1.0,0.0,10.0,1,0,0,2.0,2.0,1.0,13.0,0.7519456929999999,0.621016507,0.1211,1732.0,2.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2792,12161607,1.0,0.0,0.0,0.0,0.0,9.0,1,0,0,2.0,2.0,5.0,12.0,0.23063246,0.10256353800000001,0.2969,4.0,0.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2834,12188894,1.0,1.0,1.0,1.0,0.0,3.0,1,0,0,2.0,2.0,4.0,16.0,0.531878993,0.621289241,0.0722,271.0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
